total_screen_time_minutes,daily_limit_minutes,late_night_minutes,longest_session_minutes,restricted_app_attempts_today,rule_violations_7d,frequent_app_opens_today,risk_points,risk_label
0,180,0,42,0,0,13,0,Low Risk
204,240,0,26,0,0,8,0,Low Risk
33,120,0,57,0,0,36,2,Low Risk
0,120,0,56,0,2,5,0,Low Risk
76,240,0,39,5,0,10,2,Low Risk
131,240,0,21,1,4,0,2,Low Risk
101,180,0,58,0,4,10,2,Low Risk
133,120,15,11,2,0,0,4,Moderate Risk
340,60,0,0,1,0,8,2,Low Risk
171,60,0,49,3,0,3,4,Moderate Risk
309,120,0,63,1,6,0,4,Moderate Risk
120,120,0,47,3,0,5,2,Low Risk
115,240,0,59,0,1,1,0,Low Risk
198,180,0,85,0,0,11,2,Low Risk
118,60,0,0,0,0,15,2,Low Risk
202,120,0,69,1,0,13,2,Low Risk
30,60,0,7,0,0,1,0,Low Risk
131,60,7,110,0,0,8,5,Moderate Risk
284,120,67,0,2,0,10,4,Moderate Risk
71,60,0,31,0,0,9,2,Low Risk
234,120,0,6,0,0,27,4,Moderate Risk
125,240,0,47,0,0,0,0,Low Risk
196,120,0,68,0,0,12,2,Low Risk
15,120,0,108,2,0,10,1,Low Risk
210,120,0,21,0,6,27,6,High Risk
118,180,0,43,0,0,0,0,Low Risk
155,240,0,103,0,2,27,3,Moderate Risk
130,180,0,84,0,0,12,0,Low Risk
379,60,0,66,0,0,12,2,Low Risk
0,120,0,0,5,0,6,2,Low Risk
227,180,0,48,0,1,9,2,Low Risk
183,240,0,3,0,2,11,0,Low Risk
181,60,0,51,0,0,12,2,Low Risk
256,60,14,1,0,3,41,8,High Risk
140,180,0,0,0,1,17,2,Low Risk
192,60,0,35,0,1,15,2,Low Risk
240,240,103,154,2,0,7,3,Moderate Risk
116,60,0,0,0,0,13,2,Low Risk
120,180,0,49,6,1,22,4,Moderate Risk
66,180,0,0,0,4,49,4,Moderate Risk
215,240,0,39,2,1,2,0,Low Risk
90,60,0,65,3,2,11,4,Moderate Risk
83,240,0,43,0,0,13,0,Low Risk
219,60,0,72,0,0,18,4,Moderate Risk
159,180,0,152,0,0,6,1,Low Risk
123,240,0,103,0,0,12,1,Low Risk
158,120,67,92,2,1,0,5,Moderate Risk
69,180,0,65,0,0,6,0,Low Risk
244,240,0,5,0,1,10,2,Low Risk
160,120,48,58,0,0,0,4,Moderate Risk
172,120,0,0,0,0,1,2,Low Risk
98,120,0,31,1,0,13,0,Low Risk
214,240,0,76,0,0,9,0,Low Risk
238,60,179,49,5,2,8,6,High Risk
0,240,0,69,0,8,2,2,Low Risk
380,180,0,195,0,0,5,3,Moderate Risk
0,240,0,27,5,0,15,2,Low Risk
268,60,0,82,0,0,10,2,Low Risk
156,240,0,86,0,0,6,0,Low Risk
166,180,0,111,0,2,16,3,Moderate Risk
237,240,0,49,0,0,29,2,Low Risk
199,120,0,15,0,0,22,4,Moderate Risk
130,120,0,52,0,0,12,2,Low Risk
180,120,0,0,4,6,31,8,High Risk
302,240,0,21,1,2,0,2,Low Risk
33,180,139,36,0,0,2,2,Low Risk
225,120,28,0,1,0,2,4,Moderate Risk
141,180,0,104,0,4,11,3,Moderate Risk
289,60,0,47,1,3,29,6,High Risk
207,60,0,15,0,2,17,4,Moderate Risk
135,60,0,28,4,0,0,4,Moderate Risk
181,180,0,14,0,0,11,2,Low Risk
145,60,16,115,2,0,8,5,Moderate Risk
23,60,0,83,4,0,1,2,Low Risk
233,60,8,151,0,2,0,5,Moderate Risk
27,180,0,78,3,1,7,2,Low Risk
189,240,0,17,0,2,14,0,Low Risk
269,240,0,64,1,0,0,2,Low Risk
27,60,0,143,1,0,24,3,Moderate Risk
160,180,0,35,0,0,11,0,Low Risk
146,120,12,27,0,0,24,6,High Risk
225,120,0,42,0,0,7,2,Low Risk
229,240,0,78,1,0,20,2,Low Risk
320,240,0,27,0,0,10,2,Low Risk
122,60,0,0,2,0,9,2,Low Risk
204,240,0,62,0,0,0,0,Low Risk
192,240,0,48,0,0,26,2,Low Risk
4,60,0,9,0,0,30,2,Low Risk
191,120,0,0,0,1,13,2,Low Risk
278,120,0,6,0,3,15,4,Moderate Risk
168,60,0,23,0,10,31,6,High Risk
161,240,35,75,2,2,35,4,Moderate Risk
0,60,0,10,1,0,0,0,Low Risk
167,240,0,0,0,0,16,2,Low Risk
109,60,0,104,0,0,9,3,Moderate Risk
48,240,0,0,0,0,10,0,Low Risk
217,180,0,17,0,0,7,2,Low Risk
108,240,50,41,2,2,6,2,Low Risk
0,60,0,0,0,0,2,0,Low Risk
300,240,0,79,0,0,0,2,Low Risk
299,120,46,14,0,0,0,4,Moderate Risk
38,60,0,21,0,2,13,0,Low Risk
114,120,0,57,0,5,0,2,Low Risk
160,120,0,0,1,0,9,2,Low Risk
80,180,0,0,0,0,8,0,Low Risk
113,180,0,49,0,0,1,0,Low Risk
44,120,0,23,1,0,4,0,Low Risk
162,60,0,0,0,5,15,4,Moderate Risk
149,180,0,73,0,3,7,2,Moderate Risk
295,60,8,37,0,0,6,4,Moderate Risk
155,60,0,97,0,0,10,3,Moderate Risk
267,120,0,58,0,4,14,4,Moderate Risk
83,60,4,35,0,3,1,6,High Risk
177,180,0,0,0,0,0,0,Low Risk
140,120,0,71,0,0,11,2,Low Risk
5,120,0,83,1,0,30,2,Low Risk
245,60,0,28,0,0,0,2,Low Risk
232,60,0,16,0,0,6,2,Low Risk
110,60,0,74,4,3,15,6,High Risk
200,60,0,33,0,0,3,2,Low Risk
149,120,0,149,0,0,3,3,Moderate Risk
30,60,68,41,3,0,5,4,Low Risk
106,120,15,59,3,0,5,4,Moderate Risk
11,120,0,87,0,4,12,2,Low Risk
293,60,0,0,1,0,4,2,Low Risk
319,180,0,0,0,0,7,2,Moderate Risk
159,60,0,72,0,3,12,4,Moderate Risk
0,120,0,117,3,0,8,3,Moderate Risk
46,60,0,19,0,3,10,2,Low Risk
210,240,0,37,1,0,1,0,Low Risk
67,120,15,49,0,0,8,2,Low Risk
115,60,67,72,0,1,14,4,Moderate Risk
227,240,0,177,1,0,13,1,Low Risk
51,240,0,75,3,1,18,4,Moderate Risk
321,180,90,98,0,0,2,5,Moderate Risk
220,180,0,46,1,0,5,2,Low Risk
72,180,0,64,8,0,12,2,Low Risk
162,240,0,11,2,4,4,2,Low Risk
0,240,0,29,2,4,8,2,Low Risk
133,240,0,75,0,0,0,0,Low Risk
123,60,0,192,0,0,3,3,Moderate Risk
211,60,26,143,2,0,5,5,Moderate Risk
243,60,4,83,0,3,2,6,High Risk
36,120,0,0,0,0,10,0,Low Risk
172,180,12,86,2,0,12,2,Low Risk
118,60,13,57,2,1,0,4,Moderate Risk
214,60,0,0,1,0,0,2,Low Risk
291,240,0,111,0,0,5,3,Moderate Risk
175,120,2,56,0,1,2,4,Moderate Risk
0,60,0,126,0,0,18,3,Moderate Risk
42,120,0,64,0,1,1,0,Low Risk
228,60,0,25,1,1,29,4,Moderate Risk
78,240,0,35,0,0,35,2,Low Risk
179,180,0,170,0,0,0,1,Low Risk
236,240,0,2,0,0,10,0,Low Risk
0,60,0,39,0,4,15,2,Low Risk
405,120,2,30,2,3,3,6,High Risk
0,240,0,17,2,0,20,2,Low Risk
264,60,11,19,0,0,1,4,High Risk
227,240,32,36,0,4,5,4,Moderate Risk
56,60,0,92,0,0,11,1,Low Risk
137,180,0,0,3,0,11,2,Low Risk
91,60,0,38,3,0,10,4,Moderate Risk
161,120,1,25,0,0,10,4,Moderate Risk
56,120,71,73,0,5,6,4,Moderate Risk
0,120,0,44,1,0,2,0,Low Risk
97,60,56,43,0,0,4,4,Moderate Risk
0,180,0,45,0,0,51,2,Low Risk
149,180,0,49,0,0,8,0,Low Risk
195,180,0,165,0,1,16,5,Moderate Risk
151,240,0,93,2,2,9,1,Low Risk
0,180,0,36,1,1,10,0,Low Risk
109,180,0,19,0,0,1,0,Low Risk
245,60,0,71,0,0,10,2,Low Risk
77,120,7,1,0,3,11,4,Moderate Risk
136,120,0,51,0,0,12,2,Low Risk
297,240,0,0,1,0,16,4,Moderate Risk
320,60,0,40,1,0,28,4,Moderate Risk
74,180,0,32,0,0,40,2,Low Risk
49,120,1,22,0,0,6,2,Low Risk
123,60,63,152,1,0,24,7,High Risk
137,60,0,174,0,3,28,7,High Risk
182,120,0,0,0,2,14,2,Low Risk
68,60,0,95,1,0,0,3,Moderate Risk
81,180,0,9,3,0,10,2,Low Risk
74,60,49,105,1,0,10,5,Moderate Risk
86,60,17,63,0,0,0,4,Moderate Risk
164,120,0,118,0,0,12,3,Moderate Risk
17,120,0,0,0,0,12,0,Low Risk
77,240,10,18,0,0,15,2,Low Risk
0,180,0,33,0,0,12,0,Low Risk
382,60,0,45,0,4,4,4,Moderate Risk
230,240,0,43,0,0,13,0,Low Risk
149,240,0,48,0,0,3,0,Low Risk
87,120,0,8,0,0,1,0,Low Risk
298,180,0,84,0,0,13,2,Low Risk
140,180,5,29,0,3,12,4,Moderate Risk
363,120,0,68,0,0,10,2,Low Risk
159,120,0,39,0,0,16,4,Moderate Risk
70,120,0,63,0,0,11,0,Low Risk
111,120,0,129,1,0,6,1,Low Risk
65,120,34,31,0,0,12,2,Low Risk
108,180,0,0,0,0,1,0,Low Risk
0,240,0,118,0,4,9,3,Moderate Risk
219,180,27,15,0,0,12,4,Moderate Risk
163,240,0,101,0,0,0,1,Low Risk
312,60,10,0,0,0,0,4,Moderate Risk
192,120,0,0,0,1,1,2,Low Risk
141,120,65,79,4,0,7,6,High Risk
19,180,0,42,0,1,13,0,Low Risk
199,60,0,78,5,0,1,4,Moderate Risk
219,60,0,61,0,1,11,2,Low Risk
85,180,0,24,0,0,19,2,Low Risk
132,120,124,53,0,0,38,6,High Risk
201,60,0,103,0,0,31,5,Moderate Risk
178,60,0,46,0,1,0,2,Low Risk
241,60,0,0,0,6,26,6,High Risk
67,240,0,43,3,0,5,2,Low Risk
87,120,0,109,0,0,26,3,Moderate Risk
0,240,0,20,0,2,15,0,Low Risk
171,180,0,60,0,0,13,0,Low Risk
146,60,0,54,0,0,14,2,Low Risk
220,60,0,22,0,0,1,2,Low Risk
111,60,0,52,1,0,0,2,Low Risk
96,240,0,63,0,0,9,0,Low Risk
107,60,0,93,0,0,0,3,Moderate Risk
31,60,0,26,0,0,8,0,Low Risk
319,240,0,140,5,0,9,5,Moderate Risk
139,120,0,0,0,2,10,2,Low Risk
168,240,0,47,6,0,5,2,Low Risk
80,120,0,63,1,0,8,0,Low Risk
250,240,0,112,2,1,10,3,Moderate Risk
39,240,0,32,1,0,37,2,Low Risk
184,60,0,52,0,0,9,2,Low Risk
216,180,0,32,0,2,11,2,Low Risk
253,180,40,94,0,1,0,5,Moderate Risk
118,60,81,0,0,3,0,6,High Risk
287,60,0,3,0,2,8,2,Low Risk
328,60,0,38,2,0,17,4,Low Risk
53,60,57,35,1,0,6,2,Low Risk
273,240,0,0,0,0,12,2,Low Risk
165,180,69,128,0,2,17,5,Moderate Risk
287,60,3,158,1,1,4,5,Moderate Risk
117,180,0,0,0,0,9,0,Low Risk
289,60,0,0,0,0,6,2,Low Risk
323,60,0,38,0,0,21,4,Moderate Risk
44,180,0,92,0,0,10,1,Low Risk
151,180,0,71,0,0,11,0,Low Risk
0,240,0,16,0,0,23,2,Low Risk
117,120,0,17,0,4,7,2,Low Risk
194,60,0,53,0,4,11,4,Moderate Risk
157,120,0,65,0,0,38,4,Moderate Risk
21,240,0,64,0,0,7,0,Low Risk
219,240,0,94,0,2,35,3,Moderate Risk
101,120,0,44,2,0,11,0,Low Risk
206,180,0,0,0,3,8,4,Moderate Risk
26,180,0,53,0,0,9,0,Low Risk
29,120,0,122,0,0,1,1,Low Risk
131,60,0,35,0,0,5,2,Low Risk
68,180,0,74,0,0,3,0,Low Risk
26,120,0,33,0,0,16,2,Low Risk
76,120,0,73,0,0,20,2,Low Risk
222,180,0,0,0,0,14,2,Low Risk
158,120,0,46,0,0,27,4,Moderate Risk
127,240,0,37,1,3,10,2,Low Risk
93,120,63,90,0,0,8,2,Low Risk
98,180,0,34,0,0,6,0,Low Risk
0,180,0,123,0,0,7,1,Low Risk
162,120,0,35,0,0,17,4,Moderate Risk
185,60,0,67,2,0,18,4,Moderate Risk
84,60,0,52,0,0,4,2,Low Risk
310,60,11,8,0,1,18,6,High Risk
136,180,20,120,1,0,1,3,Low Risk
150,120,52,75,0,0,9,4,Moderate Risk
0,120,0,102,2,3,8,3,Moderate Risk
245,120,0,119,2,5,10,5,Moderate Risk
159,60,55,77,0,8,0,6,High Risk
75,60,0,0,0,0,21,4,Moderate Risk
195,60,9,101,0,0,21,7,High Risk
62,60,0,12,1,3,8,4,Moderate Risk
202,120,0,48,0,3,29,6,High Risk
134,120,0,51,2,0,9,2,Low Risk
217,60,0,150,0,2,13,3,Moderate Risk
225,180,8,38,0,0,6,4,Moderate Risk
44,60,0,84,0,3,0,2,Low Risk
120,120,0,86,2,3,24,4,Moderate Risk
46,180,0,79,0,0,0,0,Low Risk
145,180,0,0,0,0,0,0,Low Risk
86,120,0,30,5,0,0,2,Low Risk
246,120,0,30,0,4,11,4,Moderate Risk
242,120,10,61,1,2,22,6,High Risk
237,240,0,97,0,0,3,1,Low Risk
303,60,0,3,0,4,17,6,High Risk
55,60,26,3,0,3,12,4,Moderate Risk
272,60,0,158,2,2,13,3,Moderate Risk
210,120,0,51,0,0,12,2,Low Risk
164,180,0,100,0,2,14,1,Low Risk
429,240,0,0,0,3,24,6,High Risk
75,120,0,42,1,1,6,0,Low Risk
16,180,0,25,0,0,13,0,Low Risk
81,120,0,31,1,5,5,2,Low Risk
95,60,0,109,0,0,12,3,Moderate Risk
84,120,0,143,2,2,10,1,Low Risk
226,120,0,115,1,0,21,5,Moderate Risk
135,180,0,31,0,0,4,0,Low Risk
55,120,0,23,0,3,17,4,Moderate Risk
0,120,0,72,0,1,21,2,Low Risk
125,120,0,0,0,0,18,4,Moderate Risk
64,120,7,43,0,1,0,2,Low Risk
278,240,0,90,1,0,9,2,Low Risk
211,180,0,48,1,0,15,2,Low Risk
290,180,0,0,0,0,5,2,Low Risk
51,60,0,142,0,0,0,1,Low Risk
249,60,20,85,1,0,0,4,Moderate Risk
202,240,0,136,0,2,0,1,Low Risk
182,120,0,29,0,3,14,4,Moderate Risk
234,240,0,87,0,1,5,0,Low Risk
179,120,0,96,0,1,16,5,Moderate Risk
95,60,0,21,0,5,7,4,Moderate Risk
282,60,0,112,0,0,26,5,Moderate Risk
180,120,0,6,0,2,18,4,Moderate Risk
28,120,0,82,0,6,11,2,Low Risk
0,240,41,33,0,0,23,4,Moderate Risk
10,240,0,0,0,0,0,0,Low Risk
273,180,0,18,0,0,10,2,Low Risk
101,60,34,90,0,0,14,4,Moderate Risk
216,120,0,41,0,0,6,2,Low Risk
159,60,0,62,0,0,28,4,Moderate Risk
193,180,0,71,0,0,13,2,Low Risk
214,180,0,0,1,0,0,2,Low Risk
12,60,0,40,1,0,0,0,Low Risk
167,180,53,69,0,0,13,2,Low Risk
167,240,0,109,0,0,19,3,Moderate Risk
0,240,13,166,0,0,26,5,High Risk
0,120,0,49,0,1,11,0,Low Risk
28,120,0,28,0,0,9,0,Low Risk
226,60,22,103,0,2,0,5,Moderate Risk
45,180,0,58,4,0,16,4,Moderate Risk
220,240,0,57,0,0,14,0,Low Risk
316,120,0,8,0,2,0,2,Low Risk
131,120,0,71,0,0,32,4,Moderate Risk
66,240,0,61,0,0,1,0,Low Risk
304,240,0,10,0,0,14,2,Low Risk
56,60,0,18,5,1,11,2,Low Risk
0,60,59,97,1,2,0,3,Moderate Risk
206,120,0,108,0,0,15,3,Moderate Risk
88,60,0,0,4,0,6,4,Moderate Risk
47,180,0,45,0,0,16,2,Low Risk
86,120,0,43,0,14,20,4,High Risk
203,240,57,37,0,0,14,2,Low Risk
90,240,0,161,0,0,5,1,Low Risk
73,60,0,94,0,0,13,3,Moderate Risk
276,180,0,159,0,0,9,3,Moderate Risk
140,180,0,91,0,0,2,1,Low Risk
109,180,0,117,0,0,18,3,Moderate Risk
160,180,0,96,0,0,6,1,Low Risk
202,60,0,0,0,0,26,4,Moderate Risk
78,60,0,56,2,0,8,2,Low Risk
140,240,0,19,1,0,13,0,Low Risk
186,120,0,76,0,6,0,4,Moderate Risk
197,60,26,0,0,1,16,6,High Risk
4,240,0,52,0,0,0,0,Low Risk
0,60,3,70,1,1,10,2,Low Risk
285,120,0,133,0,0,4,3,Moderate Risk
124,60,0,14,0,0,5,2,Low Risk
254,180,0,88,0,0,43,4,Moderate Risk
101,120,0,123,0,0,2,1,Low Risk
295,60,0,64,1,0,20,4,High Risk
237,240,0,73,0,7,0,2,Low Risk
107,180,203,65,0,0,0,2,Low Risk
311,120,1,22,0,0,9,4,Moderate Risk
144,240,44,20,0,2,4,2,Low Risk
265,60,2,108,0,0,0,5,Moderate Risk
188,120,0,58,0,0,23,4,Moderate Risk
99,60,0,46,0,4,13,4,Moderate Risk
72,120,0,77,0,0,0,0,Low Risk
161,120,0,146,0,0,11,3,Moderate Risk
268,60,0,86,4,1,15,4,Moderate Risk
79,240,0,53,0,0,15,0,Low Risk
117,240,0,30,0,0,13,0,Low Risk
424,120,0,100,1,0,18,5,Moderate Risk
99,60,0,17,0,0,16,4,Moderate Risk
194,60,0,95,0,1,15,3,Moderate Risk
129,60,0,54,0,2,27,4,Moderate Risk
192,240,0,70,0,1,14,0,Low Risk
175,240,0,55,0,0,11,0,Low Risk
38,120,0,19,0,0,8,0,Moderate Risk
260,120,0,17,0,0,8,2,Low Risk
259,60,0,75,0,0,5,2,Low Risk
114,60,15,6,0,3,10,6,High Risk
244,240,0,75,0,0,14,2,Low Risk
220,240,19,20,0,0,9,2,Low Risk
0,60,0,86,1,0,11,0,Low Risk
208,120,0,64,0,0,13,2,Low Risk
37,180,0,34,1,0,16,2,Low Risk
58,180,0,49,0,0,44,2,Low Risk
90,120,11,125,0,0,0,3,Moderate Risk
131,120,0,151,1,0,10,3,Moderate Risk
45,180,0,18,0,0,0,0,Low Risk
164,180,0,73,1,0,4,0,Low Risk
109,120,0,21,1,1,0,0,Low Risk
10,60,20,0,0,1,16,4,Moderate Risk
78,120,46,71,0,7,6,4,Moderate Risk
199,120,0,0,1,3,7,4,Moderate Risk
165,180,1,10,0,1,0,2,Low Risk
249,60,0,34,0,3,0,4,Moderate Risk
245,60,0,0,2,0,20,4,Moderate Risk
233,180,0,88,0,0,4,2,Low Risk
117,180,112,40,0,0,4,2,Low Risk
209,120,0,102,0,2,0,3,Moderate Risk
156,120,0,103,0,0,3,3,Moderate Risk
317,120,0,50,0,0,0,2,Low Risk
163,60,0,39,0,2,5,2,Low Risk
135,60,0,76,2,0,23,4,Moderate Risk
0,120,0,20,0,0,5,0,Low Risk
108,60,11,46,1,0,0,4,Moderate Risk
0,60,4,84,1,0,14,2,Low Risk
143,120,0,31,0,1,28,4,Moderate Risk
302,60,0,175,0,1,13,3,Moderate Risk
154,60,0,0,0,1,16,4,Moderate Risk
254,180,0,77,0,4,0,4,Moderate Risk
209,120,0,105,0,0,0,3,Moderate Risk
0,120,15,72,1,10,28,6,High Risk
123,180,0,108,0,0,14,1,Low Risk
255,180,0,36,0,0,6,2,Low Risk
161,240,0,105,0,0,17,3,Moderate Risk
285,120,0,51,0,0,5,2,Low Risk
305,240,0,0,0,2,17,4,Moderate Risk
154,60,1,87,0,0,21,6,High Risk
118,240,0,55,1,0,15,0,Low Risk
355,60,20,35,0,1,1,4,Moderate Risk
3,240,44,23,0,0,7,2,Low Risk
50,120,0,38,0,0,23,2,Low Risk
54,180,77,86,1,0,1,2,Low Risk
268,60,0,67,1,0,9,2,Low Risk
133,240,0,93,0,0,16,3,Moderate Risk
0,180,0,41,6,3,9,4,Moderate Risk
143,180,195,19,3,1,28,6,High Risk
42,60,0,19,0,2,17,2,Low Risk
253,120,0,6,0,0,13,2,Low Risk
0,240,0,38,0,4,4,2,Low Risk
71,240,7,99,0,0,6,3,Moderate Risk
285,120,55,25,0,0,24,6,High Risk
174,180,0,70,0,5,17,4,Moderate Risk
30,240,0,5,0,0,0,0,Low Risk
0,60,0,30,4,1,8,2,Low Risk
66,120,0,43,1,0,9,0,Low Risk
117,240,0,40,1,0,11,0,Low Risk
230,60,0,0,0,2,1,2,Low Risk
384,60,0,163,0,0,11,3,Moderate Risk
108,180,77,82,0,0,37,4,Moderate Risk
11,240,0,68,0,1,4,0,Low Risk
3,240,0,1,1,0,12,0,Low Risk
133,180,25,53,0,0,12,2,Low Risk
25,240,0,54,0,1,9,0,Low Risk
345,240,0,15,0,0,0,2,Low Risk
0,120,33,23,2,2,4,2,Low Risk
266,240,69,77,2,5,0,6,High Risk
0,240,55,134,0,2,9,3,Moderate Risk
209,240,0,62,0,0,17,2,Low Risk
252,180,0,23,0,0,7,2,Low Risk
117,240,0,73,0,0,6,0,Low Risk
268,120,43,15,0,0,8,4,Moderate Risk
222,180,0,27,0,1,11,2,Low Risk
95,120,0,84,1,2,20,2,Low Risk
160,240,15,29,0,0,41,4,Moderate Risk
261,120,0,59,10,4,31,8,High Risk
113,60,0,92,0,0,8,3,Moderate Risk
259,120,0,47,0,3,6,4,Moderate Risk
176,120,1,92,5,0,3,7,High Risk
187,60,8,12,0,1,10,4,Moderate Risk
261,180,0,102,0,0,9,3,Moderate Risk
157,60,0,0,0,1,2,2,Low Risk
166,240,0,31,3,10,4,4,Moderate Risk
67,120,2,152,2,0,10,3,Moderate Risk
152,60,0,33,0,0,12,2,Low Risk
179,240,0,0,0,0,50,2,Low Risk
283,60,0,124,0,0,0,3,Moderate Risk
232,180,0,72,0,0,6,2,Low Risk
216,60,0,99,1,1,13,3,Moderate Risk
0,240,19,96,0,0,17,5,Moderate Risk
173,240,1,2,0,0,0,2,Low Risk
248,180,0,48,0,0,19,4,High Risk
133,60,0,90,0,0,23,4,Moderate Risk
38,120,0,8,0,0,0,0,Low Risk
333,240,0,23,0,0,11,2,Low Risk
34,240,7,27,0,1,45,4,Moderate Risk
173,120,68,0,1,0,6,4,Moderate Risk
170,180,0,0,0,0,22,2,Low Risk
313,240,0,26,0,0,13,2,Low Risk
226,60,0,57,0,0,5,2,Low Risk
